ts_utc,time,pools_gym_current,pools_gym_capacity,finnish_sauna_current,finnish_sauna_capacity
2026-01-29T20:27:27.241024+00:00,21:27,34,220,7,12
2026-01-29T20:53:07.195825+00:00,21:53,0,220,0,12
2026-01-30T05:44:51.165775+00:00,06:44,26,220,0,12
2026-01-30T06:30:09.836389+00:00,07:30,35,220,0,12
2026-01-30T07:27:04.647925+00:00,08:27,65,220,0,12
2026-01-30T07:58:41.073544+00:00,08:58,77,220,0,12
2026-01-30T08:40:43.147405+00:00,09:40,115,220,0,12
2026-01-30T09:23:35.705671+00:00,10:23,164,220,0,12
2026-01-30T10:00:05.086016+00:00,11:00,213,220,0,12
2026-01-30T10:40:26.845300+00:00,11:40,172,220,0,12
2026-01-30T11:16:25.615232+00:00,12:16,148,220,0,12
2026-01-30T11:44:13.758979+00:00,12:44,120,220,0,12
2026-01-30T11:59:51.120048+00:00,12:59,111,220,0,12
2026-01-30T13:05:09.116389+00:00,14:05,130,220,0,12
2026-01-30T14:01:01.027549+00:00,15:01,145,220,0,12
2026-01-30T14:49:31.369107+00:00,15:49,169,220,1,12
2026-01-30T15:20:05.184158+00:00,16:20,180,220,4,12
2026-01-30T15:54:17.157894+00:00,16:54,161,220,7,12
2026-01-30T16:28:55.499591+00:00,17:28,159,220,5,12
2026-01-30T17:06:25.066952+00:00,18:06,131,220,10,12
2026-01-30T17:48:37.093535+00:00,18:48,130,220,10,12
2026-01-30T18:21:36.467385+00:00,19:21,114,220,7,12
2026-01-30T19:05:55.722565+00:00,20:05,107,220,8,12
2026-01-30T19:41:28.086892+00:00,20:41,89,220,12,12
2026-01-30T20:00:13.494465+00:00,21:00,70,220,10,12
2026-01-30T20:43:23.912071+00:00,21:43,17,220,0,12
2026-01-31T05:28:49.901180+00:00,06:28,0,220,0,12
2026-01-31T06:00:09.817178+00:00,07:00,0,220,0,12
2026-01-31T06:55:34.699402+00:00,07:55,0,220,0,12
2026-01-31T07:23:17.462282+00:00,08:23,29,220,0,12
2026-01-31T07:46:27.554819+00:00,08:46,54,220,0,12
2026-01-31T07:57:52.877679+00:00,08:57,57,220,0,12
2026-01-31T08:29:48.576173+00:00,09:29,90,220,0,12
2026-01-31T08:55:29.855554+00:00,09:55,113,220,0,12
2026-01-31T09:20:50.003525+00:00,10:20,151,220,0,12
2026-01-31T09:48:28.934528+00:00,10:48,175,220,0,12
2026-01-31T09:59:07.003526+00:00,10:59,179,220,0,12
2026-01-31T10:27:51.867038+00:00,11:27,178,220,3,12
2026-01-31T10:50:45.119224+00:00,11:50,175,220,2,12
2026-01-31T11:13:32.732898+00:00,12:13,158,220,4,12
2026-01-31T11:34:40.852654+00:00,12:34,136,220,10,12
2026-01-31T11:49:04.872557+00:00,12:49,138,220,9,12
2026-01-31T11:57:20.573254+00:00,12:57,122,220,7,12
2026-01-31T12:41:32.039187+00:00,13:41,142,220,7,12
2026-01-31T13:30:29.432441+00:00,14:30,165,220,2,12
2026-01-31T14:00:08.959289+00:00,15:00,179,220,2,12
2026-01-31T14:29:25.330565+00:00,15:29,178,220,7,12
2026-01-31T14:50:38.088382+00:00,15:50,190,220,13,12
2026-01-31T15:15:18.631694+00:00,16:15,189,220,9,12
2026-01-31T15:40:42.481042+00:00,16:40,183,220,12,12
2026-01-31T15:58:18.497768+00:00,16:58,189,220,13,12
2026-01-31T16:28:14.563987+00:00,17:28,179,220,8,12
2026-01-31T16:54:11.960196+00:00,17:54,171,220,7,12
2026-01-31T17:16:52.709212+00:00,18:16,158,220,6,12
2026-01-31T17:42:59.269396+00:00,18:42,151,220,5,12
2026-01-31T17:57:36.206713+00:00,18:57,155,220,4,12
2026-01-31T18:30:10.701881+00:00,19:30,134,220,5,12
2026-01-31T18:58:31.719941+00:00,19:58,123,220,3,12
2026-01-31T19:21:10.313110+00:00,20:21,129,220,6,12
2026-01-31T19:39:30.666924+00:00,20:39,99,220,5,12
2026-01-31T19:50:12.653119+00:00,20:50,80,220,5,12
2026-01-31T20:15:49.428956+00:00,21:15,60,220,4,12
2026-01-31T20:42:49.438508+00:00,21:42,29,220,0,12
2026-01-31T20:57:51.691277+00:00,21:57,12,220,0,12
2026-02-01T05:42:28.046790+00:00,06:42,0,220,0,12
2026-02-01T06:31:22.286023+00:00,07:31,0,220,0,12
2026-02-01T07:24:11.048759+00:00,08:24,51,220,0,12
2026-02-01T07:53:00.350658+00:00,08:53,75,220,0,12
2026-02-01T08:22:12.004381+00:00,09:22,98,220,0,12
2026-02-01T08:54:14.667858+00:00,09:54,135,220,0,12
2026-02-01T09:22:07.417674+00:00,10:22,148,220,0,12
2026-02-01T09:50:46.695197+00:00,10:50,175,220,0,12
2026-02-01T10:16:59.094665+00:00,11:16,188,220,3,12
2026-02-01T10:47:34.329966+00:00,11:47,166,220,10,12
2026-02-01T11:01:46.021819+00:00,12:01,159,220,7,12
2026-02-01T11:32:11.902251+00:00,12:32,142,220,5,12
2026-02-01T11:49:35.614919+00:00,12:49,133,220,5,12
2026-02-01T11:57:40.600510+00:00,12:57,125,220,6,12
2026-02-01T12:45:44.673292+00:00,13:45,116,220,5,12
2026-02-01T13:32:07.748359+00:00,14:32,146,220,9,12
2026-02-01T14:01:23.618627+00:00,15:01,182,220,14,12
2026-02-01T14:38:13.515480+00:00,15:38,163,220,19,12
2026-02-01T14:56:43.004808+00:00,15:56,158,220,12,12
2026-02-01T15:20:19.338622+00:00,16:20,169,220,6,12
2026-02-01T15:45:43.585320+00:00,16:45,164,220,6,12
2026-02-01T15:59:32.086530+00:00,16:59,164,220,3,12
2026-02-01T16:34:23.664587+00:00,17:34,161,220,3,12
2026-02-01T16:58:44.720719+00:00,17:58,155,220,7,12
2026-02-01T17:25:30.988401+00:00,18:25,135,220,10,12
2026-02-01T17:47:50.860268+00:00,18:47,117,220,12,12
2026-02-01T17:59:51.691471+00:00,18:59,104,220,12,12
2026-02-01T18:40:55.553729+00:00,19:40,86,220,9,12
